CUTM1K,Longitude,Latitude,Taxonomic groups,Genus,Species,Confirmed
PG8151,-6.8101038317,41.9926876041,Flora (vascular plants),Centaurea,Centaurea nigra,"1"
PG8151,-6.8101038317,41.9926876041,Flora (vascular plants),Rubus,Rubus henriquesii,"1"
PG8251,-6.79803954,41.9924567127,Birds,Curruca,Curruca undata,"1"
PG8251,-6.79803954,41.9924567127,Flora (vascular plants),Erica,Erica umbellata,"1"
PG8251,-6.79803954,41.9924567127,Flora (vascular plants),Polygala,Polygala microphylla,"1"
PG8150,-6.8104124193,41.9836876168,Birds,Alectoris,Alectoris rufa,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Arenaria,Arenaria montana,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Betula,Betula pubescens,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Cirsium,Cirsium palustre,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Doronicum,Doronicum carpetanum,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Erica,Erica tetralix,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Genista,Genista micrantha,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Linaria,Linaria elegans,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Nardus,Nardus stricta,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Peucedanum,Peucedanum lancifolium,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Polygala,Polygala microphylla,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Radiola,Radiola linoides,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Sedum,Sedum brevifolium,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Sedum,Sedum hirsutum,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Trichophorum,Trichophorum cespitosum,"1"
PG8150,-6.8104124193,41.9836876168,Flora (vascular plants),Wahlenbergia,Wahlenbergia hederacea,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Achillea,Achillea millefolium,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Actitis,Actitis hypoleucos,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Aegithalos,Aegithalos caudatus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Agrostis,Agrostis castellana,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Agrostis,Agrostis curtisii,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Agrostis,Agrostis hesperica,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Agrostis,Agrostis truncatula,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Alauda,Alauda arvensis,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Alectoris,Alectoris rufa,"1"
PG8250,-6.7983498243,41.9834567978,Amphibians,Alytes,Alytes obstetricans,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Anas,Anas platyrhynchos,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Anthoxanthum,Anthoxanthum amarum,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Anthoxanthum,Anthoxanthum aristatum,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Anthus,Anthus campestris,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Anthus,Anthus pratensis,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Anthus,Anthus spinoletta,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Anthus,Anthus trivialis,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Apus,Apus apus,"1"
