Taxonomic groups,Genus,Species,European IUCN Red List Version 2021-3,Regional IUCN Red List Version 2005,Regional Red List of vascular plants 2022,Latitude,Longitude,Source,Resolution
Flora (vascular plants),Abutilon,Abutilon theophrasti,Not Evaluated (NE),,Not Evaluated (NE),41.792103,-6.955951,GBIF,GPS
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.928194,-6.726021,GBIF,GPS
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.875445,-7.02974,GBIF,GPS
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.843635,-7.034218,GBIF,GPS
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.831134,-6.988001,GBIF,GPS
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.92563563400014,-7.08977275339237,Floradata,1 Km
Flora (vascular plants),Acacia,Acacia dealbata,Not Evaluated (NE),,Not Evaluated (NE),41.94482052976463,-7.1615807504621305,Floradata,1 Km
Reptiles,Acanthodactylus,Acanthodactylus erythrurus,Least Concern (LC),Near Threatened (NT),,41.6690340063,-6.8435799531,ICNF,GPS
Flora (vascular plants),Acanthus,Acanthus mollis,Not Evaluated (NE),,Not Evaluated (NE),41.629177,-6.861294,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.854794,-6.586947,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.889576,-6.823445,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.935154,-6.981176,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.896126,-6.774139,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.93887,-6.765132,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.87787,-6.668486,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.95675,-6.962589,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.863434,-7.183208,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.93389,-6.816738,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.93168,-6.851606,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.8896,-6.82344,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.9389,-6.76513,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.9339,-6.81674,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.9317,-6.85161,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.8779,-6.66849,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.9567,-6.96259,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.8634,-7.18321,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.9352,-6.98118,GBIF,GPS
Birds,Accipiter,Accipiter gentilis,Least Concern (LC),Vulnerable (VU),,41.8961,-6.77414,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.90228,-6.735091,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.79323,-6.842183,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.900608,-6.935452,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.937695,-7.179872,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.889576,-6.823445,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.74434,-6.569705,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.902813,-6.614757,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.844727,-6.859868,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.90215,-7.03567,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.897263,-6.866133,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.6632,-6.938125,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.93651,-6.755176,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.918926,-7.075489,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.95402,-7.085553,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.87551,-6.791281,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.80822,-6.969793,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.93389,-6.816738,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.93168,-6.851606,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.91952,-6.912503,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.912926,-6.897483,EOD - Bird (GBIF Dataset),GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.8896,-6.82344,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9365,-6.75518,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9339,-6.81674,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9317,-6.85161,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9195,-6.9125,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9129,-6.89748,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.954,-7.08555,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.8755,-6.79128,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9189,-7.07549,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.8082,-6.96979,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9377,-7.17987,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.6632,-6.93813,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.7443,-6.56971,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9028,-6.61476,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.8447,-6.85987,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9021,-7.03567,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.8973,-6.86613,GBIF,GPS
Birds,Accipiter,Accipiter nisus,Least Concern (LC),Least Concern (LC),,41.9006,-6.93545,GBIF,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.9061617,-6.8599935,INaturalist,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.7779916667,-6.9715366667,INaturalist,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.7779283333,-6.9715916667,INaturalist,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.8172416667,-6.962745,INaturalist,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.9019234089,-7.17351518939,SP Botânica,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.8429538123,-6.88612920861,SP Botânica,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.8929211645,-7.17377176576,SP Botânica,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.8572923549,-7.1988804288,SP Botânica,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.8,-6.95,GBIF,GPS
Flora (vascular plants),Acer,Acer monspessulanum,Least Concern (LC),,Not Evaluated (NE),41.93562481206663,-7.149783207320316,Floradata,1 Km
Flora (vascular plants),Acer,Acer pseudoplatanus,Least Concern (LC),,Not Evaluated (NE),41.882518256,-6.60763940923,SP Botânica,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9560955538,-6.7623317242,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9520949819,-6.9734457135,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9508223061,-6.9532862306,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9584539902,-6.8097504973,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9871289003,-6.8002152443,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.9095260448,-6.79652486,INaturalist,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.952095,-6.973446,GBIF,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.987129,-6.800215,GBIF,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.950822,-6.953286,GBIF,GPS
Flora (vascular plants),Achillea,Achillea millefolium,Least Concern (LC),,Not Evaluated (NE),41.956096,-6.762332,GBIF,GPS
